corp_name,corp_code,stock_code
BGF리테일,01263022,282330
BNK금융지주,00858364,138930
CJ,00148540,001040
CJ대한통운,00113410,000120
CJ제일제당,00635134,097950
DB손해보험,00159102,005830
DL,00109693,000210
DL이앤씨,01524093,375500
DN오토모티브,00116949,007340
F&F,01568413,383220
GKL,00557508,114090
GS,00500254,078930
GS건설,00120030,006360
GS리테일,00140177,007070
HDC,00164636,012630
HD한국조선해양,00164830,009540
HD현대,01205709,267250
HD현대마린솔루션,01194689,443060
HD현대미포,00164609,010620
HD현대인프라코어,00344287,042670
HD현대일렉트릭,01205851,267260
HD현대중공업,01390344,329180
HL만도,01042775,204320
HMM,00164645,011200
HS효성첨단소재,01316254,298050
JB금융지주,00980122,175330
KB금융,00688996,105560
케이씨씨,00105271,002380
KG모빌리티,00138242,003620
케이티,00190321,030200
케이티앤지,00244455,033780
LG,00120021,003550
LG디스플레이,00105873,034220
LG생활건강,00356370,051900
LG에너지솔루션,01515323,373220
LG유플러스,00231363,032640
LG이노텍,00105961,011070
LG전자,00401731,066570
LG화학,00356361,051910
LIG넥스원,00503668,079550
LS,00105952,006260
엘에스일렉트릭,00105855,010120
NAVER,00266961,035420
NH투자증권,00120182,005940
OCI,01760738,456040
OCI홀딩스,00148896,010060
POSCO홀딩스,00155319,005490
S-Oil,00138279,010950
SK,00181712,034730
SKC,00139889,011790
SK바이오사이언스,01319899,302440
에스케이바이오팜,00878696,326030
SK스퀘어,01596425,402340
SK아이이테크놀로지,01386916,361610
SK이노베이션,00631518,096770
SK케미칼,01267170,285130
SK텔레콤,00159023,017670
SK하이닉스,00164779,000660
TCC스틸,00117300,002710
티케이지휴켐스,00426086,069260
iM금융지주,00878915,139130
강원랜드,00255619,035250
고려아연,00102858,010130
금호석유화학,00106368,011780
금호타이어,00481454,073240
기아,00106641,000270
기업은행,00149646,024110
넷마블,00904672,251270
녹십자,00129679,006280
녹십자홀딩스,00108135,005250
농심,00108241,004370
대상,00121941,001680
대우건설,00124540,047040
대웅,00111810,003090
대웅제약,00427483,069620
대한유화,00260383,006650
대한전선,00113207,001440
대한항공,00113526,003490
더블유게임즈,01010110,192080
덴티움,00526599,145720
동서,00144395,026960
동원산업,00118026,006040
동원시스템즈,00132637,014820
두산,00117212,000150
두산로보틱스,01105153,454910
두산밥캣,01032486,241560
두산에너빌리티,00159616,034020
롯데쇼핑,00120526,023530
롯데웰푸드,01258507,280360
롯데정밀화학,00157681,004000
롯데지주,00120562,004990
롯데칠성음료,00120571,005300
롯데케미칼,00165413,011170
메리츠금융지주,00860332,138040
미래에셋증권,00111722,006800
미스토홀딩스,00195229,081660
미원상사,00121932,002840
미원에스씨,01234297,268280
삼성E&A,00126308,028050
삼성SDI,00126362,006400
삼성물산,00149655,028260
삼성바이오로직스,00877059,207940
삼성생명,00126256,032830
삼성에스디에스,00126186,018260
삼성전기,00126371,009150
삼성전자,00126380,005930
삼성중공업,00126478,010140
삼성증권,00104856,016360
삼성카드,00126292,029780
삼성화재해상보험,00139214,000810
삼양식품,00126955,003230
세방전지,00133858,004490
세아베스틸지주,00106669,001430
세아제강지주,00124197,003030
셀트리온,00413046,068270
신세계,00136378,004170
신한지주,00382199,055550
씨에스윈드,00670340,112610
아모레퍼시픽,00583424,090430
아모레퍼시픽홀딩스,00154462,002790
에스디바이오센서,00854997,137310
에스엘,00125521,005850
에스원,00158501,012750
에이피알,01190568,278470
에코프로머티,01311408,450080
엔씨소프트,00261443,036570
엘앤에프,00398701,066970
영원무역,00776820,111770
영원무역홀딩스,00140964,009970
영풍,00141307,000670
오뚜기,00141529,007310
오리온,01238169,271560
오리온홀딩스,00117577,001800
우리금융지주,01350869,316140
유한양행,00145109,000100
율촌화학,00145260,008730
이마트,00872984,139480
이수스페셜티케미컬,01762569,457190
제일기획,00148276,030000
종근당,00992871,185750
지역난방공사,00159698,071320
카카오,00258801,035720
카카오뱅크,01133217,323410
카카오페이,01244601,377300
코스맥스,01009789,192820
코스모화학,00160302,005420
코오롱인더,00795135,120110
코웨이,00170558,021240
크래프톤,00760971,259960
키움증권,00296290,039490
태광산업,00153393,003240
팬오션,00122737,028670
포스코DX,00155212,022100
포스코인터내셔널,00124504,047050
포스코퓨처엠,00155276,003670
풍산,00684714,103140
하나금융지주,00547583,086790
하나투어,00269940,039130
하이브,01204056,352820
하이트진로,00150244,000080
한국가스공사,00261285,036460
한국금융지주,00432102,071050
한국앤컴퍼니,00160047,000240
한국전력공사,00159193,015760
한국카본,00159795,017960
한국콜마,00939331,161890
한국타이어앤테크놀로지,00937324,161390
한국항공우주,00309503,047810
한미반도체,00161383,042700
한미사이언스,00161426,008930
한미약품,00828497,128940
한샘,00161693,009240
한솔케미칼,00140955,014680
한온시스템,00161125,018880
한올바이오파마,00162586,009420
한일시멘트,01319808,300720
한전KPS,00159218,051600
한전기술,00159209,052690
한진칼,00983040,180640
한화,00160588,000880
한화비전,01867758,489790
한화생명,00113058,088350
한화솔루션,00162461,009830
한화시스템,00339391,272210
한화에어로스페이스,00126566,012450
한화오션,00111704,042660
현대건설,00164478,000720
현대글로비스,00360595,086280
현대로템,00302926,064350
현대모비스,00164788,012330
현대백화점,00428251,069960
현대엘리베이터,00164724,017800
현대위아,00106623,011210
현대제철,00145880,004020
현대자동차,00164742,005380
현대해상,00164973,001450
호텔신라,00165680,008770
효성중공업,01316245,298040
효성티앤씨,01316227,298020
후성,00595191,093370
